INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
211362214,03/20/2020,19:04:00,QUEENS,113,0,,false,25-44,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,1041589,187579,40.681360293000068,-73.793268659999967
211362214,03/20/2020,19:04:00,QUEENS,113,0,,false,45-64,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,1041589,187579,40.681360293000068,-73.793268659999967
214184457,06/14/2020,18:30:00,BRONX,42,0,,false,,,,25-44,M,BLACK,1010158,242491,40.832227424000052,-73.906379769999944
207700495,01/09/2020,11:30:00,BROOKLYN,77,0,,false,,,,18-24,M,WHITE HISPANIC,1002295,184332,40.672615329000052,-73.934949719999963
208009526,01/15/2020,05:31:00,BROOKLYN,83,0,,false,18-24,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1008941,190260,40.688870297000051,-73.91096936799994
208009526,01/15/2020,05:31:00,BROOKLYN,83,0,,false,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1008941,190260,40.688870297000051,-73.91096936799994
214729181,06/29/2020,00:03:00,BROOKLYN,90,0,,false,,,,25-44,M,BLACK HISPANIC,995958,198402,40.711244880000038,-73.957769973999973
213922507,06/06/2020,11:50:00,BROOKLYN,71,0,,false,,,,18-24,M,BLACK HISPANIC,1002948,182618,40.667909427000041,-73.932600427999944
213724267,05/31/2020,18:49:00,QUEENS,105,0,,false,,,,18-24,M,BLACK,1050349,182034,40.666079489000026,-73.761739458999955
209468786,02/12/2020,02:30:00,MANHATTAN,25,0,,true,,,,25-44,M,BLACK,1001168,229824,40.797481848000075,-73.938898133999942
213550053,05/26/2020,15:51:00,BROOKLYN,76,2,MULTI DWELL - PUBLIC HOUS,true,25-44,M,BLACK,25-44,M,BLACK,986966,188114,40.683014038000067,-73.990208813999971
214693787,06/27/2020,02:03:00,QUEENS,114,0,,false,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1004577,220322,40.771394210000039,-73.926614486999938
213472077,05/22/2020,23:53:00,BRONX,44,0,,false,,,,<18,M,BLACK,1007500,241369,40.829155253000067,-73.915988654999978
209281500,02/08/2020,12:13:00,QUEENS,115,0,,true,,,,25-44,M,BLACK,1021014,214935,40.756555222000031,-73.86730119899994
208672085,01/28/2020,20:16:00,QUEENS,100,0,,false,,,,25-44,M,BLACK,1040889,155021,40.592000260000077,-73.796065746999943
209333851,02/10/2020,00:16:00,BRONX,52,0,BAR/NIGHT CLUB,false,,,,18-24,M,BLACK,1017775,262112,40.886055507000037,-73.878756718999966
212400208,04/25/2020,20:45:00,BRONX,47,0,,false,25-44,M,BLACK,25-44,M,BLACK,1025627,266936,40.899262519000047,-73.850329832999989
211293040,03/16/2020,14:00:00,BROOKLYN,81,0,,true,45-64,M,BLACK,45-64,M,BLACK,1001749,188772,40.684803219000059,-73.936906504999968
213471601,05/22/2020,21:45:00,BROOKLYN,75,0,,false,,,,18-24,M,BLACK,1014810,181040,40.663545173000045,-73.889848452999956
213471601,05/22/2020,21:45:00,BROOKLYN,75,0,,true,,,,18-24,M,BLACK,1014810,181040,40.663545173000045,-73.889848452999956
213471601,05/22/2020,21:45:00,BROOKLYN,75,0,,false,,,,25-44,M,BLACK,1014810,181040,40.663545173000045,-73.889848452999956
213471601,05/22/2020,21:45:00,BROOKLYN,75,0,,true,,,,25-44,M,BLACK,1014810,181040,40.663545173000045,-73.889848452999956
212904807,05/10/2020,19:27:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,WHITE HISPANIC,45-64,F,WHITE HISPANIC,993514,197321,40.708280688000059,-73.96658711699996
209283225,02/09/2020,19:40:00,BROOKLYN,77,0,BAR/NIGHT CLUB,false,,,,18-24,M,BLACK,998108,185113,40.674766541000054,-73.950042128999939
214016089,06/09/2020,19:45:00,BROOKLYN,76,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,983234,185295,40.675276877000044,-74.003664241999957
214312558,06/17/2020,21:02:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,true,,,,45-64,M,BLACK,1009515,183436,40.670138350000059,-73.908925193999949
213549525,05/26/2020,02:13:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1001469,191733,40.692931032000047,-73.937908514999947
213748382,06/01/2020,23:38:00,MANHATTAN,18,0,,false,,,,25-44,M,BLACK,991012,215386,40.757866945000046,-73.975593429999947
212515896,04/29/2020,19:00:00,BROOKLYN,67,0,,false,,,,18-24,M,BLACK,1006663,178312,40.656081786000072,-73.919223219999935
213724265,05/31/2020,04:09:00,QUEENS,113,0,PVT HOUSE,false,,,,25-44,M,BLACK,1051376,191988,40.693393136000054,-73.757938380999974
210707457,03/08/2020,04:51:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1000829,195754,40.703968961000044,-73.940206501999967
210707457,03/08/2020,04:51:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1000829,195754,40.703968961000044,-73.940206501999967
212640535,05/03/2020,16:13:00,QUEENS,109,2,MULTI DWELL - PUBLIC HOUS,false,,,,45-64,M,BLACK,1030347,215618,40.758386148000056,-73.833608974999947
214058821,06/10/2020,17:10:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1000876,191779,40.693058425000061,-73.940046800999937
214264816,06/16/2020,00:30:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,WHITE HISPANIC,25-44,M,BLACK,998684,229230,40.795855886000027,-73.947870954999985
213471603,05/23/2020,18:52:00,BROOKLYN,63,0,,false,25-44,M,BLACK,18-24,M,BLACK,1003431,168503,40.62916578200003,-73.930899484999941
214431171,06/21/2020,22:53:00,BROOKLYN,81,0,,false,,,,18-24,M,BLACK,1006496,187716,40.681894082000042,-73.919794068999977
206909437,01/02/2020,21:37:00,BROOKLYN,63,0,,false,18-24,F,BLACK,25-44,M,WHITE,1001836,168373,40.628812269000036,-73.936646008999958
